Abingdon Car Park, SW1 1XX| UK
Aldersgate Street NCP, EC1A 4HY| UK
Arthur Court NCP, W2 5HL| UK
ASDA Store, CT10 2QA| UK
Bernard Street NCP, WC1N 1LN| UK
Berners Street NCP,	W1T 3NE| UK
Bloomsbury Square Car Park,	WC1A 2RL| UK
Bowling Green Lane NCP, EC1R 0BD| UK
Brewer Street NCP, W1F 0LA| UK
Britannia Leisure Centre, N1 5JU| UK
Broadwick Car Park, W1F 7SJ| UK
Cadogan Place NCP, SW1X 9SA | UK
Camden Road Sainsburys,	NW1 9LJ| UK
Canary Wharf, E14 5EW| UK
Carrington Street NCP, W1J 7AF| UK
Church Street Car Park,	NW8 8BG| UK
Cleveland Street NCP, W1 4JY| UK
Crawford Street NCP, W1H 1JR| UK
Finsbury Square NCP, EC2A 1AD| UK
Great Eastern Street NCP, EC2A 3ER| UK
Greenwich, SE10 0QJ| UK
Grosvenor Hill, W1K 3QQ| UK
Hammersmith Hospital, W12 0HS| UK
Highbury Crescent, N5 1RD| UK
Hilton Hotel NCP, W1K 1BE| UK
Holburn NCP, WC1A 1JP| UK
Homerton Hospital Car Park, E9 6SR| UK
Knightsbridge Car Park, SW1X 8JU| UK
London Wall Car Park, EC2V 5DY| UK
Marylebone NCP, NW1 5AR| UK
Pavillion Road NCP, SW1X 0HH| UK
Pimlico Car Park, SW1V 4LR| UK
Portman Square NCP, W1H 7BG| UK
Saffron Hill NCP, EC1N 8XA| UK
Sherwood Court NCP, W1H 5FE| UK
Snowsfield NCP, SE1 3RU| UK
Sherbourne House, NR17 2JX| UK
Berwick Garden Centre, TD15 2NS| UK
Brindley Place, B1 2JF| UK
Cabot Circus, BS2 9AB| UK
The Mall, BS36 5DG| UK
Glades Shopping Centre, BR1 1DN| UK
Queen Anne Terrace Car Park, CB1 1LY| UK
Church Hill Car Park, B91 3QS| UK
Croft Road, CV1 3AZ| UK
Belgrade Plaza Car Park, CV1 4AH| UK
Salt Lane Car Park, CV1 2GY| UK
Little Park Street, CV1 2JZ| UK
Rail Station, CV1 2GT| UK
Cox Street Car Park, CV1 5GA| UK
Eden Project, PL26 8LQ| UK
Metro Centre, NE16 3BE| UK
Ford Motor Company, SS15 6EE| UK
High Cross Shopping Centre, LE1 4FQ| UK
Andreas Schroeer, MK3 6BY| UK
Newport Pagnell service station, MK16 8AQ| UK
Chapelfield Shopping Centre, NR2 1SU| UK
Victoria Centre Car Park, NG1 3QN| UK
Waratah Lodge Bed & Breakfast, PO11 0LJ| UK
Independent Utilities Limited, PL1 3NY| UK
Tesco Supermarket, PE15 0AX| UK
Meadowhall Shopping Centre, S9 5DA| UK
Southampton, SO16 4GU| UK
Potteries Shopping Centre, ST1 1PP| UK